"Form","Official form name","Section","Field label","Type","Required?","Our confidence","What the field is for (help text)","Evidence we have","REVIEW — Is this box on the real form? (Y/N)","REVIEW — Correct label / type / required, if wrong","REVIEW — Comments"
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Disclosure and assurance","Disclosure impact assurance given","checkbox","Yes","documented","Confirms specific assurance that the impact of potentially disclosable material on the decision to charge has been considered, including unexamined material and material obtainable through further reasonable lines of enquiry.","DG6 4.21 and Annex 4 ""Compliance and assurance"" — ""there has been consideration of the impact of potentially disclosable material on the decision to charge, including any unexamined material, or material that could be obtained through further reasonable lines of inquiry""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Disclosure and assurance","Quality assurance confirmed","checkbox","Yes","documented","Confirms the referral has been subject to quality assurance and is submitted in compliance with the Director's Guidance on Charging.","DG6 Annex 4 ""Compliance and assurance"" — ""the referral has been subject to quality assurance and that the material and information is submitted in compliance with this guidance""; DG6 4.21","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Certification and contact","Officer in the case","text","Yes","documented","Name, rank/collar number and location of the officer in the case.","DG6 Annex 4 ""Contact details"" — ""name, location, e-mail and contact telephone number for the officer in the case""; DG6 Desktop Guide ""certification and contact details for the officer in the case (MG3/CM01)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Certification and contact","Officer email address","text","Yes","documented","Email address for the officer in the case, for return of the charging decision and any action plan.","DG6 Annex 4 ""Contact details"" — ""e-mail""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Certification and contact","Officer contact telephone number","text","No","documented","Daytime contact number for the officer in the case.","DG6 Annex 4 ""Contact details"" — ""contact telephone number""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Certification and contact","Supervising officer (authorising the referral)","text","Yes","documented","Name and rank of the supervisor who signs off the referral. The investigator completes the form and the supervisor signs it before submission.","Home Office guidance MG03 — ""You, as the investigator, complete the form and your supervisor signs it""; TWI 3.4.2.1 — ""the officer seeking the decision and their supervising officer (mandatory)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Certification and contact","Material provided with the referral","textarea","No","documented","List of the evidential material sent to the CPS with this request, e.g. witness statements, exhibits, ROTI, crime report, checklists and risk assessments.","TWI 3.4.2.1 — ""a list of material provided to the CPS e.g. a reference to a witness statement (optional)""; DG6 Annex 3 ""MATERIAL REQUIRED FOR A CHARGING DECISION""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Prosecutor's decision","select","No","documented","The charging decision recorded by the prosecutor: prosecute, out-of-court disposal (e.g. conditional caution), no further action on evidential grounds, no further action on public interest grounds, or further information required under an action plan.","TWI 3.4.1 and 3.4.2.2 — the four outcomes and per-suspect disposal decision; Home Office guidance MG03 — ""The lawyer records their advice and decisions on the form and returns it to you""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Charges authorised","textarea","No","documented","The charges the prosecutor authorises to be put to the suspect, with the full offence wording where the prosecutor has provided it. The custody/charging sergeant will ask to see the authorised charging decision before charge.","TWI 3.4.2.2 — the response ""will include the charges the CPS Duty Prosecutor wants the police to put to the suspect... may optionally include the full offence wording (the particulars of the charge) based on standard PNLD templates""; Home Office guidance — ""The police sergeant authorising a charge against a suspect will ask to see the authorised charging decision.""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Rationale for the decision","textarea","No","documented","The prosecutor's explanation of the decision, proportionate to the strength of the evidence and the issues in the case, including the analysis of sufficiency of evidence and public interest.","DG6 4.26 — ""Prosecutors will explain the rationale for their decision. The explanation will be proportionate to the strength of the evidence and the issues in the case""; TWI 3.4.3.4 — ""the analysis supporting the decision""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Shared action plan","textarea","No","documented","Further actions required of the police, with the rationale for each and agreed timescales. Each action must be linked to an issue in the case — evidential, case progression or sentence.","DG6 4.27 — ""prosecutors will set out any further actions they require the police to take in a shared action plan... They will also set out the rationale for any such actions""; DG6 para 2 ""There must be a justification for each action linked to an issue in the case — evidential; case progression or sentence""; TWI 3.4.3.4 ""an action plan with a review date(s)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Action plan review date","date","No","documented","The date by which the action plan is to be reviewed or the requested work completed.","TWI 3.4.3.4 — ""if necessary an action plan with a review date(s)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Are you satisfied that all reasonable lines of enquiry have been considered?","select","No","documented","A mandated disclosure question added to the MG3 in June 2019, which the prosecutor must answer as part of the charging decision.","HMCPSI 2020 disclosure inspection, para 4.36 — ""As of the end of June 2019, the MG3 compels the prosecutor to consider disclosure actions and issues and mandates the prosecutor to answer the following questions: Are you satisfied that all reasonable lines of enquiry have been considered?""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Did the police identify/record/provide all relevant information about unused/unexamined material?","select","No","documented","The second mandated disclosure question added to the MG3 in June 2019. Where the answer is no, the failing should be fed back to the police.","HMCPSI 2020 disclosure inspection, para 4.36 — quoted verbatim as the second mandated question","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Prosecutor's disclosure assurance","checkbox","No","documented","Confirms the prosecutor has considered the impact of potentially disclosable material on the decision to charge, including unexamined material and material obtainable through further reasonable lines of enquiry.","DG6 4.28 — ""Prosecutors will also record, as part of their charging decision, a specific assurance that they have considered the impact of potentially disclosable material on the decision to charge""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Prosecutor name","text","No","documented","Name of the prosecutor who made the decision.","TWI A.1.3 — the response provides ""Structured information relating to the Duty Prosecutor that made the decision""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Prosecutor grade","text","No","likely — NOT corroborated by our checker","Grade of the deciding prosecutor. Grade matters because some decisions are reserved (e.g. NFA on public interest grounds is taken by a Senior Crown Prosecutor, and appeals go to a District Crown Prosecutor).","inference — from TWI A.1.3 ""structured information relating to the Duty Prosecutor"" together with DG6 footnote 20 and 4.31 reserving decisions to SCP/DCP grades; the specific box is not documented","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Prosecutor's decision (CPS use)","Date and time of decision","date","No","likely — NOT corroborated by our checker","When the decision was given. Timeliness is measured against the CPS/police service level agreement, and against the PACE clock where the suspect is detained.","inference — from DG6 4.26 (""in accordance with agreed timescales"", footnote 37 SLA) and 4.5 (timing of decisions against the PACE clock); the specific box is not documented","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Surname","text","Yes","documented","Surname of the person charged, as printed on the form's ""Surname:"" line.","MG4 (2010/11) printed label ""Surname:""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Forename(s)","text","Yes","documented","All forenames of the person charged — the Manual of Guidance requires ALL forenames to be included.","MG4 (2010/11) printed label ""Forename(s):""; Manual of Guidance 2011 annotation ""Include ALL forenames""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Address","textarea","Yes","documented","Current address of the person charged, for service of documents.","MG4 (2010/11) printed label ""Address:"" with three ruled continuation lines","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Postcode","text","Yes","documented","Postcode for the address given.","MG4 (2010/11) printed label ""Postcode:""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Date of birth","date","Yes","documented","Date of birth of the person charged, from the custody record.","MG4 (2010/11) boxed field ""Date of birth""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Gender","select","No","documented","Recorded on the form as an M or F tick box.","MG4 (2010/11) tick boxes ""M"" / ""F""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Ethnicity code","text","No","documented","Ethnicity recorded using the PNC code and the 16-point self-determined system, as the form directs.","MG4 (2010/11) printed label ""Ethnicity Code: PNC / 16-point self-determined system""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Person charged","Contact telephone number","text","No","documented","Contact number for the person charged.","MG4 (2010/11) printed label ""Contact telephone number:""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","Custody number","text","Yes","documented","Custody record number for this detention. The MG4 forms part of the custody record.","MG4 (2010/11) boxed field ""Custody No.""; copy-distribution footer includes ""Custody record""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","Unique Reference Number (URN)","text","Yes","documented","The URN for the case, e.g. 01AB0123456/24.","MG4 (2010/11) boxed field ""URN""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","Arrest/Summons Number (A/S No.)","text","Yes","documented","The ASN for this person. It must relate to this particular suspect and match the number used in the pre-charge referral.","MG4 (2010/11) boxed field ""A/S No.""; Manual of Guidance 2011 annotation ""Arrest/Summons number must relate to this particular suspect""; TWI 3.4.2.3 (the ASN on charge is the same one used pre-charge)","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","First arrest date","date","No","documented","Date of first arrest for the matter being charged.","MG4 (2010/11) printed label ""First arrest date:""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","Prolific or other priority offender (PPO)","checkbox","No","documented","Tick where the person charged is managed as a prolific or other priority offender.","MG4 (2010/11) tick box ""PPO""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","Youth offender (YO)","checkbox","No","documented","Tick where the person charged is a youth. A youth charge also requires an appropriate adult signature below.","MG4 (2010/11) tick box ""YO"" and the ""Signed (appropriate adult)"" lines","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Interpreter","Interpreter language / dialect","text","No","documented","Language and dialect required. Include the dialect where appropriate, to aid provision of an interpreter at court.","MG4 (2010/11) printed label ""Interpreter: language/dialect""; Manual of Guidance 2011 annotation ""Include dialect where appropriate to aid provision of interpreter at court""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Interpreter","Name of interpreter","text","No","documented","Name of the interpreter present at charge.","MG4 (2010/11) printed label ""Name of interpreter""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Charges","The person charged has been cautioned in the terms printed on the form","checkbox","Yes","documented","The MG4 carries fixed pre-printed wording immediately above the charge table: ""You are charged with the offence(s) shown below. You do not have to say anything. But it may harm your defence if you do not mention now, something which you later rely on in court. Anything you do say may be given in evidence."" Treat this like the MG11 declaration — render the wording read-only and have the officer confirm it, never store it as a field value.","MG4 (2010/11) pre-printed wording, quoted verbatim from the template","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Charges","Charges","textarea","Yes","documented","Each charge on its own line, numbered sequentially. Charge wording must follow the precise wording held on the Police National Legal Database (PNLD). Additional charges continue the same numbering sequence.","MG4 (2010/11) charge table columns ""Sequential No. | Charge(s) | CCCJS Offence Code""; Manual of Guidance 2011 annotations ""Charges must follow the precise wording contained on the Police National Legal Database"", ""Charges should be numbered sequentially"", ""Additional charges should be numbered in sequence following on from the first set of charges""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Charges","CJS offence codes","textarea","No","documented","The CCCJS/CJS offence code for each charge, in the same order as the charges above.","MG4 (2010/11) charge table column ""CCCJS Offence Code""; TWI 4.1.2.4 (""A CJS Code with matching description and offence category"")","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Charges","Specimen or additional charges","checkbox","No","documented","Tick where these are specimen or additional charges — the Manual of Guidance requires this to be clearly marked at the top of the form.","Manual of Guidance 2011 annotation on the MG4: ""If SPECIMEN OR ADDITIONAL charges, this should be clearly marked at the top of the form""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Charges","Continuation charges","checkbox","No","documented","Tick where charges continue on a further MG4 sheet.","MG4 (2010/11) printed field ""Continuation charges: Yes / No""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Charges","Reply (if any)","textarea","No","documented","Any reply made after charge, recorded verbatim and contemporaneously. Leave blank if no reply was made.","MG4 (2010/11) printed label ""Reply (if any):""; Manual of Guidance 2011 annotation ""Record any reply after charge contemporaneously""; Home Office guidance MG04 (""their reply after charge"")","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Signature of person charged (typed name)","text","Yes","documented","Typed name standing in for the signature of the person charged. Signing acknowledges receipt of the charge, not guilt.","MG4 (2010/11) printed label ""Signed (person charged):""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Signature of appropriate adult (typed name)","text","No","documented","Typed name of the appropriate adult, where the person charged is a youth or a vulnerable adult.","MG4 (2010/11) printed label ""Signed (appropriate adult):""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Officer charging","text","Yes","documented","Surname, rank, collar number and station of the officer who preferred the charge.","MG4 (2010/11) printed labels ""Officer charging Surname: ... Rank: ... No. ... Station:""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Officer in the case","text","Yes","documented","Surname, rank or job title, number and station of the officer in the case.","MG4 (2010/11) printed labels ""Officer in case Surname: ... Rank/Job title: ... No. ... Station:""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Charge accepted by","text","Yes","documented","Surname, rank or job title and number of the custody officer who accepted the charge. This is the custody sergeant's authorisation block.","MG4 (2010/11) printed labels ""Charge acepted [sic] Surname: ... Rank/Job title: ... No. ...""; Home Office guidance MG04 (""The custody sergeant uses this form..."")","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Time charged","time","Yes","documented","Time the charge was accepted, from the custody record. Relevant to the PACE clock.","MG4 (2010/11) ""Charge acepted ... Time: ...""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Signatures and officers","Date charged","date","Yes","documented","Date the charge was accepted.","MG4 (2010/11) ""Charge acepted ... Date: ...""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","Unconditional bail granted after charge","checkbox","No","documented","This panel is for post-charge UNCONDITIONAL bail only. For pre-charge bail, conditional bail or any variation use the MG4A; where a surety or security is taken also complete the MG4C. Do not record bail conditions on the MG4.","MG4 (2010/11) panel heading ""FOR POST-CHARGE UNCONDITIONAL BAIL ONLY (for all other types of bail use MG4A)""; Home Office guidance MG04 (""the grant of unconditional bail following charge"") and MG04A/MG04C entries","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","Court","text","No","documented","The Magistrates' Court or Youth Court the person must surrender to.","MG4 (2010/11) pre-printed wording ""I understand that I am granted bail and must surrender to the custody of ... Magistrates' / Youth Court""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","Court address","textarea","No","documented","Full address of the court, as the form requires.","MG4 (2010/11) printed label ""at (full address)""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","First hearing date","date","No","documented","Date the person bailed must attend court.","MG4 (2010/11) printed label ""on ...""; TWI A.1.4 (the MG4-equivalent CM03 carries ""Next hearing information for the case"", mandatory)","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","First hearing time","time","No","documented","Time of the first hearing.","MG4 (2010/11) printed label ""time ...""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","Signature of person bailed (typed name)","text","No","documented","Typed name standing in for the signature of the person bailed, acknowledging the bail undertaking and the consequences of failing to surrender. An appropriate adult also signs where applicable.","MG4 (2010/11) printed labels ""Signed (person bailed):"" and ""Signed (appropriate adult):"", following the pre-printed warning that failure to surrender may be an offence punishable by fine or imprisonment","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Post-charge unconditional bail","Officer granting bail","text","No","documented","Surname, rank, number and the time and date of the grant of bail.","MG4 (2010/11) printed labels ""Officer granting: Surname: ... Rank: ... No: ... Time: ... Date: ...""","","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Case identifiers","Defence solicitor","text","No","likely","Solicitor representing the person charged, where known. Not a box on the paper MG4, but the digital charge message that replaces it carries defence solicitor details.","inference — TWI A.1.4 and 3.4.2.3: the CM03 (""similar to the MG4"") carries ""Defence solicitor information for the suspect"" (optional). No corresponding box appears on the 2010/11 paper MG4.","","",""
"MG6","Case File Evidence and Information","Case details","URN","text","Yes","documented","The Unique Reference Number for the case, entered in the segmented URN box at the head of the form, e.g. 01AB0123456/24.","MG6 specimen (bbpolice.uk/uploads/MG6.pdf) page 1 header 'URN'; identical in its-training-uk MG6.docx","","",""
"MG6","Case File Evidence and Information","Case details","Defendant full name","text","Yes","documented","The defendant named in the 'R v' box at the head of the form. Only one MG6 is completed per file, whatever the number of defendants.","MG6 specimen page 1 'R v' header; Manual of Guidance 2011 s.3, MG6 Guidance Note 1 (one MG6 per file)","","",""
"MG6","Case File Evidence and Information","1. Medical evidence","Medical evidence — injuries and evidence required","textarea","No","documented","Physical or psychiatric injuries of the defendant, victim or witness, and what medical evidence is required or has been requested.","MG6 specimen box 1: 'Medical Evidence: (Physical or psychiatric injuries of defendant / victim / witness)'","","",""
"MG6","Case File Evidence and Information","1. Medical evidence","Target date for obtaining medical evidence","date","No","documented","If medical evidence is required in this case, the target date for obtaining it. This date enables a charging decision to be made; the 2001 ACPO / CPS / BMA Accident and Emergency protocol applies to statements from hospital staff. This is a forward-looking target, so do not validate it as a past date.","MG6 specimen box 1 target-date question; Manual of Guidance 2011 s.3, MG6 Guidance Note 5 and the marginal note 'Target date for medical statements is important as it enables a charging decision to be made'","","",""
"MG6","Case File Evidence and Information","2. Forensic evidence","Forensic evidence","textarea","No","documented","Forensic evidence submitted or to be submitted for examination. Attach a copy of the MG21 / MG21A (forensic submission) to the MG6.","MG6 specimen box 2: 'Forensic evidence: (attach copy of MG21 / MG21A)'","","",""
"MG6","Case File Evidence and Information","2. Forensic evidence","Target date for forensic results","date","No","documented","If forensic evidence has been submitted for examination, the target date for the results. The delivery date is recorded at section 12 of the MG21. Forward-looking target date.","MG6 specimen box 2 target-date question; Manual of Guidance 2011 s.3, MG6 Guidance Note 6","","",""
"MG6","Case File Evidence and Information","3. Visually recorded material","Has all visually recorded material in police possession been viewed and copied?","select","No","documented","Covers CCTV, photographs, visually recorded interviews and body-worn video already held. Answer No if any held material is still to be viewed or copied.","MG6 specimen box 3a: 'Has all visually recorded material currently in police possession been viewed and copied?' with Yes/No answer space and 'If No, give a target date'","","",""
"MG6","Case File Evidence and Information","3. Visually recorded material","Target date for viewing / copying visual material","date","No","documented","If the answer above is No, the target date by which viewing and copying will be completed. Copying from multiplex systems, particularly discs obtained from private or commercial premises, is a frequent source of delay. Forward-looking target date.","MG6 specimen box 3a; Manual of Guidance 2011 s.3, MG6 Guidance Note 7","","",""
"MG6","Case File Evidence and Information","3. Visually recorded material","Additional visual material to be obtained","textarea","No","documented","If there is further visual material still to be obtained, state what it is and give a target date for obtaining it.","MG6 specimen box 3b: 'If there is additional visual material to be obtained, state what it is and give a target date for obtaining it'","","",""
"MG6","Case File Evidence and Information","4. Disclosure","Is there any relevant material that may undermine the prosecution case or assist the defence case?","select","No","documented","The CPIA 1996 disclosure test applied to material known to the investigator. Where such material exists a note must be made here to advise the prosecutor and a copy of the material provided to them.","MG6 specimen box 4a; National Disclosure Standards 2018 paras 2.1.6 and 2.2.1","","",""
"MG6","Case File Evidence and Information","4. Disclosure","Details of undermining / assisting material","textarea","No","documented","If Yes, provide details. Typical examples from the National Disclosure Standards are a key prosecution witness with relevant previous convictions, or a witness who has withdrawn their statement. Also record here material relevant to bail or sentence that should be disclosed in the interests of justice (R v DPP, ex parte Lee; Beaney and King).","MG6 specimen box 4a 'If Yes, provide details'; National Disclosure Standards 2018 para 2.2.1; Manual of Guidance 2011 s.3, MG6 Guidance Notes 12-13","","",""
"MG6","Case File Evidence and Information","4. Disclosure","Is there any relevant third party material?","select","No","documented","Third party material is material belonging to people or organisations outside the prosecution team.","MG6 specimen box 4b","","",""
"MG6","Case File Evidence and Information","4. Disclosure","Third party material — what it is and who holds it","textarea","No","documented","If Yes, give brief details of what the material is and who has it, e.g. social services, the local authority, owners of CCTV material, forensic experts, police surgeons, GPs or hospital doctors.","MG6 specimen box 4b and its printed footnote defining third party material","","",""
"MG6","Case File Evidence and Information","5. Victim(s) / witness(es)","Are there any outstanding witness statements to be obtained?","select","No","documented","Statements identified as needed but not yet taken.","MG6 specimen box 5a","","",""
"MG6","Case File Evidence and Information","5. Victim(s) / witness(es)","Target date for outstanding statements","date","No","documented","If Yes, the target date for completion of the outstanding statements. Forward-looking target date.","MG6 specimen box 5a 'If Yes, give a target date for completion'","","",""
"MG6","Case File Evidence and Information","5. Victim(s) / witness(es)","Anticipated not-guilty plea: are there vulnerable / intimidated witnesses?","select","No","documented","If Yes, complete an MG2 (witness assessment for special measures). Child witnesses and victims automatically qualify for special measures.","MG6 specimen box 5b; Manual of Guidance 2011 s.3, MG6 Guidance Note 8","","",""
"MG6","Case File Evidence and Information","5. Victim(s) / witness(es)","Will a Special Measures meeting be required?","select","No","documented","Consult the CPS if unsure — the form carries that instruction against this box.","MG6 specimen box 5c, including the printed note '[*consult with CPS if unsure]'","","",""
"MG6","Case File Evidence and Information","5. Victim(s) / witness(es)","Witnesses who have refused to give a statement","textarea","No","documented","Give the name and address of any witness who has refused, and state their role or involvement. Add any reason or opinion as to why they refused and what evidence they could give: this may become relevant in cross-examination if they are called as a defence witness.","MG6 specimen box 5d; Manual of Guidance 2011 s.3, MG6 Guidance Note 9","","",""
"MG6","Case File Evidence and Information","6. Other offenders","Others yet to be arrested and interviewed","textarea","No","documented","Name, address and offence details of anyone else involved in the incident who is still to be arrested and interviewed, with the enquiries made and likely timescales for further enquiries.","MG6 specimen box 6a; Manual of Guidance 2011 s.3, MG6 Guidance Note 10","","",""
"MG6","Case File Evidence and Information","6. Other offenders","Others yet to be charged","textarea","No","documented","Name, address and offence details of anyone arrested and bailed who is likely to be charged with an offence linked to this case, including those charged with ancillary or unrelated offences who may later face a joint or related charge.","MG6 specimen box 6b; Manual of Guidance 2011 s.3, MG6 Guidance Note 10","","",""
"MG6","Case File Evidence and Information","6. Other offenders","Others dealt with by another out of court disposal","textarea","No","documented","Anyone involved in the same incident who was cautioned, conditionally cautioned, given a final warning or reprimand, or given a PND — with brief details and the reason that course was taken rather than prosecution.","MG6 specimen box 6c; Manual of Guidance 2011 s.3, MG6 Guidance Note 10","","",""
"MG6","Case File Evidence and Information","6. Other offenders","Others charged","textarea","No","documented","Anyone involved in the same incident who has been charged — whether or not a co-defendant — who will be connected to this file later or is being dealt with separately.","MG6 specimen box 6d; Manual of Guidance 2011 s.3, MG6 Guidance Note 10","","",""
"MG6","Case File Evidence and Information","7. Local / public interest","Are there any matters of local or public interest?","select","No","documented","Consider community issues and impact statements, and force or partnership priorities.","MG6 specimen box 7","","",""
"MG6","Case File Evidence and Information","7. Local / public interest","Local / public interest details","textarea","No","documented","If Yes, give details. Particular regard should be given to cases involving racist motivation where there are grounds to fear racial intimidation.","MG6 specimen box 7 'If Yes, give details'; Manual of Guidance 2011 s.3, MG6 Guidance Note 11","","",""
"MG6","Case File Evidence and Information","8. Proceeds of crime / asset recovery","Is POCA or other asset recovery being considered?","select","No","documented","Covers applications for confiscation or restraint orders, compensation, deprivation or forfeiture, and referral to the Financial Investigation Unit. The CPS needs to know at the earliest opportunity whether the defendant is a candidate for a POCA application and what stage enquiries have reached.","MG6 specimen box 8; Manual of Guidance 2011 s.3 marginal note on the MG6 POCA section","","",""
