"Jira key","Type","Jira status","Summary","Our status","Evidence in the repo","Ticket UUID (for the API)"
"LER-1147","Story","Done","Jump to field navigation","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","5704086c-abdf-4f08-866d-9f4754dcbaba"
"LER-1148","Story","Done","Blocking issues must resolve","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","3c0af19d-1350-46ca-9130-f9723a6c0249"
"LER-1149","Story","Done","Advisory acknowledgement","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","80848eeb-a4aa-4bc6-bea6-6c988477c0e8"
"LER-1150","Story","Done","Finalise button gating","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","31903d2a-363a-4347-9a0e-a115013abbf8"
"LER-1151","Story","Done","Quality check outcome logged","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","e20a6ac8-f165-44a9-9143-6d221c0cb8a3"
"LER-1152","Story","Done","QA: Definition of Done checks","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","d76e3cfe-1d4a-4ac2-b24c-16c54c151dd0"
"LER-1153","Story","To Do","Generate PDF action","not-started","","298cbbdc-13b1-4789-90f2-327f70165e0f"
"LER-1154","Story","To Do","Render pipeline","not-started","","361b7627-7265-4199-9ee4-dca48e20a83b"
"LER-1155","Story","To Do","Bind eleven HMCTS templates","not-started","","09aae85e-f4ba-453f-beb2-647365b19216"
"LER-1156","Story","To Do","Reference renders captured","not-started","","d4888140-1a3f-472d-ae57-09de04aa2ec1"
"LER-1157","Story","To Do","Pixel-difference regression","not-started","","180d8b75-a68e-490c-a4fd-6abf9054ac16"
"LER-1158","Story","To Do","Automatic pagination","not-started","","c9fcc4e6-b84a-41df-bbf6-dd1b98fa1025"
"LER-1159","Story","To Do","In-browser preview","not-started","","eee9ba54-17e3-4050-85ac-2a63983ee073"
"LER-1160","Story","To Do","Preview scroll, zoom and download","not-started","","a0b1e3dc-cd00-4bb5-a5f4-b2564b32ec8f"
"LER-1161","Story","To Do","Exhibit reference hyperlinking","not-started","","f8d0eecd-fbaa-4ce9-80cd-285990bd72ad"
"LER-1162","Story","To Do","DOCX export","not-started","","32f7608e-095d-4b7b-be5f-c1f45863f7d2"
"LER-1163","Story","To Do","DOCX draft watermark and label","not-started","","a7b1928a-eebc-406f-bf48-76dc93edc074"
"LER-1164","Story","To Do","Auto-store to case archive","not-started","","dcaa596a-b50e-48af-8419-0c74bfeb66db"
"LER-1165","Story","To Do","AES-256 encryption at rest","not-started","","5b3acc39-a54d-4c82-acd9-de1ce6ae10ff"
"LER-1166","Story","To Do","PII-free storage naming","not-started","","0c0151b5-599c-4aaf-951c-704487337c8c"
"LER-1167","Story","To Do","Download-time filename generation","not-started","","09d8e791-f93d-4f92-a435-f9dfbeb23d87"
"LER-1168","Story","To Do","Generation failure retry","not-started","","74c8b48f-4ac5-4e8f-ad3e-bfee5de51138"
"LER-1169","Story","To Do","Draft preserved on failure","not-started","","d771a12a-1328-4897-b3df-ba4f0448d620"
"LER-1170","Story","To Do","HMCTS layout sign-off","not-started","","d05b24c9-515f-4e06-864b-f1dd5224ad01"
"LER-1171","Story","To Do","QA: Definition of Done checks","not-started","","2901d787-bf33-4fa1-9b8a-2bd29735709c"
"LER-1172","Story","To Do","Auto-attach to case documents","not-started","","bd41abe0-9f09-4b4d-b830-a02f648d8bbd"
"LER-1173","Story","To Do","Document entry metadata","not-started","","b3399d13-a163-40d8-9787-b7fd562b99fb"
"LER-1174","Story","To Do","Reopen creates editable copy","not-started","","60716559-9449-49b3-84fc-e0877f4cb3cd"
"LER-1175","Story","To Do","Original locked on reopen","not-started","","f22dd6bf-4b9a-475c-a0a2-760ce40c3b75"
"LER-1176","Story","To Do","Amendment re-runs quality check","not-started","","b79ae8a9-e48e-4d8d-a40f-0e6ab6f2d5e5"
"LER-1177","Story","To Do","New version on regeneration","not-started","","2adfed58-37aa-4044-a3c1-52c1c483b49e"
"LER-1178","Story","To Do","Version history drawer","not-started","","7a3ecd05-c9f0-4488-be05-64307ad041d5"
"LER-1179","Story","To Do","Version metadata in drawer","not-started","","ab7f1312-0b87-4bc8-a58b-814aacb1006b"
"LER-1180","Story","To Do","Per-version download link","not-started","","95904781-d2c2-45de-b6ee-654dc48c5e25"
"LER-1181","Story","To Do","Prior versions read-only","not-started","","f93874b0-ccf1-4105-b707-298a628952d8"
"LER-1182","Story","To Do","All versions preserved","not-started","","68924615-05cc-4496-909a-db8bac6f16a6"
"LER-1183","Story","To Do","Side-by-side diff viewer","not-started","","f08e79fc-49cd-47da-9ef2-e0500c21e29c"
"LER-1184","Story","To Do","Standalone form personal archive","not-started","","3de95ba7-5d18-4eae-8fd8-73d53f01b824"
"LER-1185","Story","To Do","Manual case-linking later","not-started","","7f262792-5ee8-407e-ad06-bf4da66f43a9"
"LER-1186","Story","To Do","Archive search and retrieval","not-started","","b5479a38-7be2-4277-8b58-59796d3a3039"
"LER-1187","Story","To Do","QA: Definition of Done checks","not-started","","a6331238-ca31-4ef3-8e43-d07e7ec4eb1a"
"LER-1188","Story","To Do","Full regression test pass","not-started","","c7be69ad-73a4-4329-b3b0-4a13c213aca9"
"LER-1189","Story","To Do","Security review","not-started","","27bbebb3-2dc1-4af1-9868-6310f780b606"
"LER-1190","Story","To Do","Accessibility pass","not-started","","39b1e454-22ed-4ddb-8a85-c683f9dd1b3f"
"LER-1191","Story","To Do","Performance testing","not-started","","a454ecd3-4550-4405-9ecc-f499bc9027ad"
"LER-1192","Story","To Do","Storage audit","not-started","","76131343-23da-4d90-8baa-1b07eff84875"
"LER-1193","Story","To Do","Audit trail review","not-started","","d31688e8-51d9-4981-8e1b-92f1cbfb28f9"
"LER-1194","Story","To Do","User acceptance testing","not-started","","768431de-79e0-4bb4-b9b4-eee60e47c5f7"
"LER-1195","Story","To Do","Staged release","not-started","","a9f21fda-8780-4399-a1a0-274d6f59605d"
"LER-1196","Story","To Do","Handover and documentation","not-started","","8a5ab50d-dda6-43ab-9138-b9dc467b2740"
"LER-1197","Story","To Do","Husnain sign-off","not-started","","fef826a5-8971-403e-bb7a-341971f27c93"
"LER-1198","Sub-task","To Do","Obtain official HMCTS templates for all eleven forms","re-opened","re-opened 24 Aug with evidence: no official central source exists (gov.uk page has guidance only, MoG under NPCC embargo); forms are Home Office/NPCC not HMCTS — docs/answers/template-sourcing-evidence-2026-08.md","198656c0-6373-4556-9b5d-c6c7f4aac029"
"LER-1199","Sub-task","To Do","Obtain case management system API docs and test access","not-started","","82c2d89f-d8b1-40c4-8e8e-abe394d1c6e5"
"LER-1200","Sub-task","Done","Verify MG11 statutory declaration wording with senior solicitor","not-started","","832bf18e-c2a1-4207-9c32-024b644a8d17"
"LER-1201","Sub-task","Done","Confirm single decision-maker, approx 4 hours weekly","not-started","","740a2263-11af-45ae-8632-36e3f9a07711"
"LER-1202","Sub-task","Done","Provision cloud environment with encryption at rest","not-started","","45532e8e-eabc-4fc2-a641-a2f03f935462"
"LER-1203","Sub-task","Done","Confirm senior solicitor available for MG11 and MG6 review","not-started","","b4024f37-e5b3-4067-b5e8-805635b7504e"
"LER-1204","Sub-task","To Do","Confirm two or three end users for acceptance testing","not-started","","56b6dd62-1d3a-4fdc-8c42-bf9dc9d98167"
"LER-1205","Sub-task","Done","Resolve MG2, MG6 and MG14 designation mismatches","not-started","","6ca783ef-904b-45f0-83ff-64d1d7a8bf0d"
"LER-1206","Sub-task","Done","Confirm UC-10 title - Form Archive and Versioning vs Case Attachment","not-started","","3ff3ed43-d1c5-400f-9016-55667cee7c60"
"LER-1207","Story","Done","UC-05: Named format registry with provenance","delivered","UC-05 pack story 1 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","0b732847-1cd3-48f5-be0d-3607c331fa39"
"LER-1208","Story","Done","UC-05: Severity model — an unsourced rule cannot block","delivered","UC-05 pack story 2 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","f317f666-f371-445c-9175-8b0f33ea3154"
"LER-1209","Story","Done","UC-05: Blur-time firing and automatic clearing","delivered","UC-05 pack story 3 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","65566edd-b366-42ce-90f7-d18f4efce314"
"LER-1210","Story","Done","UC-05: Required-field validation across three form types","delivered","UC-05 pack story 4 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","2929d8fe-7318-4c52-95bf-85029ab22672"
"LER-1211","Story","Done","UC-05: Date format hint and impossible dates","delivered","UC-05 pack story 5 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","61400b1c-b5a7-4a6c-a959-3328dd9d0b56"
"LER-1212","Story","Done","UC-05: URN and ASN formats, advisory pending sourcing","delivered","UC-05 pack story 6 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","c2c94ce3-e852-4079-8f67-5d2176c6418b"
"LER-1213","Story","Done","UC-05: Officer collar number — 'Unverified format'","delivered","UC-05 pack story 7 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","f605a1b4-ed0e-462e-a062-acd3dda337b6"
"LER-1214","Story","Done","UC-05: CPS reference format with no field to attach it to","delivered","UC-05 pack story 8 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","4dc4c0f2-b849-4d8e-881f-5d5199955d82"
"LER-1215","Story","Done","UC-05: Cross-field rule engine","delivered","UC-05 pack story 9 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","7fc9d2c6-e42b-4b97-9e89-0e53e7511c19"
"LER-1216","Story","Done","UC-05: Consistency Issues panel","delivered","UC-05 pack story 10 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","e084301c-8f2f-4025-bfba-8bc10fe6e11a"
"LER-1217","Story","Done","UC-05: Offence date after charge date is flagged","delivered","UC-05 pack story 11 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","1e8936d7-c6d9-4701-8fb4-3c9100fcb881"
"LER-1218","Story","Done","UC-05: Statement date against the hearing date, advisory","delivered","UC-05 pack story 12 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","48e0a71d-9a58-4318-8905-4c7eca6dec99"
"LER-1219","Story","Done","UC-05: Conditional requirement","delivered","UC-05 pack story 13 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","953728a0-428b-420e-8dd8-88da7e1c3edb"
"LER-1220","Story","Done","UC-05: Interview start and end ordering","delivered","UC-05 pack story 14 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","bbfcf5e6-0b69-4ff1-9811-3e95e189900d"
"LER-1221","Story","Done","UC-05: Server-side parity and the type-shape guard","delivered","UC-05 pack story 15 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","23c64657-d720-4b4a-acaa-635cf736b56e"
"LER-1222","Story","Done","UC-05: QA: Definition of Done checks","delivered","UC-05 pack story 16 of 16 — mgs/uc-05-field-validation (186edaf), PR #85; e2e/uc05-field-validation.spec.ts","1267c08a-6be2-4c40-b640-2eaf6f8c9fe4"
"LER-1223","Story","Done","UC-06: Declared narrative fields","delivered","UC-06 pack story 1 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","2a35af07-7900-4f36-86a7-10abd718f7ab"
"LER-1224","Story","Done","UC-06: Narrative treatment in the flat renderer","delivered","UC-06 pack story 2 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","c25feb51-d8a3-4cfb-a48d-3ef1e5fc5e8f"
"LER-1225","Story","Done","UC-06: The Legal Language Assistant panel","delivered","UC-06 pack story 3 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","b6c3c716-61b8-4f45-8a45-a8ee3718e4c9"
"LER-1226","Story","Done","UC-06: Informal-language flags with a formal alternative","delivered","UC-06 pack story 4 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","e2731e37-6d6b-40dc-be8c-85654a30eb73"
"LER-1227","Story","Done","UC-06: Standard phrase suggestions, provenance-gated","delivered","UC-06 pack story 5 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","39bf52c0-d2e2-43b5-b26a-a35e30949318"
"LER-1228","Story","Done","UC-06: Completeness hints","delivered","UC-06 pack story 6 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","333a1933-6e48-4879-a48b-5fff8cd8e005"
"LER-1229","Story","Done","UC-06: Insert at cursor","delivered","UC-06 pack story 7 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","524a8242-2a83-487f-afc8-42dd75467faa"
"LER-1230","Story","Done","UC-06: Insert is audited","delivered","UC-06 pack story 8 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","83aa9851-324d-4aef-8aa4-730aa425a671"
"LER-1231","Story","Done","UC-06: Nothing is ever auto-applied","delivered","UC-06 pack story 9 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","627b1f9e-f06c-4823-8131-0301e71504e5"
"LER-1232","Story","Done","UC-06: Per-session dismissal","delivered","UC-06 pack story 10 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","579e9184-890e-4d12-b724-c060dd8435ff"
"LER-1233","Story","Done","UC-06: The assistance service boundary","delivered","UC-06 pack story 11 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","1063f393-0b5b-49d1-ae9c-01775a4fb79f"
"LER-1234","Story","Done","UC-06: Graceful degradation","delivered","UC-06 pack story 12 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","c1e26c42-8740-4ed3-a0cd-93eec0f597e7"
"LER-1235","Story","Done","UC-06: Assistance never blocks","delivered","UC-06 pack story 13 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","954dbdfb-b66a-476b-8738-94dbc79be916"
"LER-1236","Story","Done","UC-06: Panel accessibility","delivered","UC-06 pack story 14 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","7fb8b363-70bb-41c4-bdb1-29c1f9fbfed9"
"LER-1237","Story","Done","UC-06: QA: Definition of Done checks","delivered","UC-06 pack story 15 of 15 — mgs/uc-06-legal-language (2980a3f), PR #109; e2e/uc06-legal-language.spec.ts","985092b5-3de2-45a8-8d27-bffa7aa4daa5"
"LER-1238","Task","Done","THROWAWAY — API contract probe (status/agentMode). Safe to delete.","parked","throwaway API write-contract probe (docs/pr-bodies/mgs-workflow-template-alignment.md); DELETE returns 403 — remove via UI","788b3692-18d7-459d-b1f2-540a3015db5d"
"LER-1239","Story","Done","UC-04: MG6 field-set rebuild from sourced research","delivered","MG6 field-set rebuild 9->47 — mgs/finish-uc01-06 (b45afc8), PR #115; 48 top-level fields after UC-07 added the MG6D section (v5); conformance MG6 sourcing tier","cdf41e64-1cd2-4da8-913b-71269bc885b4"
"LER-1240","Story","Done","UC-07: MG6D auto-activation from the sensitive classification","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","45961318-3b1c-4d2d-a833-a1970d48d497"
"LER-1241","Story","Done","UC-07: Red 'Sensitive — Restricted Access' banner","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","eaba0fcb-f675-456f-9cca-3bad838d695b"
"LER-1242","Story","Done","UC-07: Handling instructions pre-populated and read-only","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","5a20a383-d5d3-4fa3-846d-c8b902f0316b"
"LER-1243","Story","Done","UC-07: Confirmation before editing","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","e6ceea28-abbf-4770-b000-a19eb21fe9e2"
"LER-1244","Story","Done","UC-07: Confirmation not bypassable in the UI","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","be995c2d-f527-4b76-a7e1-0471d81d317c"
"LER-1245","Story","Done","UC-07: Confirmation not bypassable at the API","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","b01810f0-bd23-4d3f-80e4-2a3e4dc5a3c4"
"LER-1246","Story","Done","UC-07: PII reminder panel","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","8cbf3dfb-50b1-439a-8cc5-6888382d5635"
"LER-1247","Story","Done","UC-07: Practice direction link","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","63ed0bc5-8d48-4b70-830a-f47d1607762f"
"LER-1248","Story","Done","UC-07: Sensitive items excluded from the non-sensitive schedule export","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","d91c7f1c-069d-4b67-a32a-192a85168cdd"
"LER-1249","Story","Done","UC-07: Access logging — every MG6D view and edit","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","e8d3906e-02e1-4cbb-8159-aa472c2e189a"
"LER-1250","Story","Done","UC-07: Access log immutability","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","b07d0d35-0804-4e4c-900a-be91f8eb3e78"
"LER-1251","Story","Done","UC-07: Step-up acknowledgement on every access","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","0f2c4c30-88d5-4960-aadf-e6c8e09e4fe5"
"LER-1252","Story","Done","UC-07: Locked section for users without the permission","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","0d7a4f2e-6fea-4103-8b21-9b6c45d69272"
"LER-1253","Story","Done","UC-07: Locked message names the required permission level and its holders","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","dbd3f93c-f654-4cc6-b713-448980dea115"
"LER-1254","Story","Done","UC-07: QA — Definition of Done checks","delivered","UC-07 delivering ticket (original mapped in docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","04cdc39a-538b-4142-b0e9-6ff7bb94e994"
"LER-1255","Story","Done","UC-08: Review & Finalise trigger — the single entry point","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","be5f7bc8-dc7e-478c-84ec-e6d828a3c737"
"LER-1256","Story","Done","UC-08: Check 1 — every required field, every field type","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","e945bf9b-fe6a-4be7-9700-a100cb509a4f"
"LER-1257","Story","Done","UC-08: Check 2 — date validity and chronological sequence","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","b6fe915c-d166-4856-a20b-13ca2e066c6f"
"LER-1258","Story","Done","UC-08: Check 3 — cross-form reference consistency","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","28e743d0-703d-41de-b6c2-01fd604ad1a3"
"LER-1259","Story","Done","UC-08: Cross-form rules — the declared shared vocabulary","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","2ba562f0-a159-4720-8021-f38e1dc3917e"
"LER-1260","Story","Done","UC-08: Check 4 — MG6D handling confirmed","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","29879b6a-a776-435f-8249-23479cf534e7"
"LER-1261","Story","Done","UC-08: Issue checklist display","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","871ac787-eff9-4319-b4f2-3137c5ccc665"
"LER-1262","Story","Done","UC-08: Jump to field navigation","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","2630625b-62d9-4a43-9a57-5829abd3b61a"
"LER-1263","Story","Done","UC-08: Blocking issues must resolve","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","731a1166-1b64-477d-a96c-251eea0cd1e2"
"LER-1264","Story","Done","UC-08: Advisory acknowledgement","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","497ee3bc-97e5-4c38-9726-b671803a4c49"
"LER-1265","Story","Done","UC-08: Advisory override with reason — written to the audit log","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","50ff8036-7ac5-460d-aee0-8a0bcf8ea118"
"LER-1266","Story","Done","UC-08: Finalise gating — enforced at the API, not just the button","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","2484776a-7698-41dd-b567-24309029acf7"
"LER-1267","Story","Done","UC-08: Quality check outcome logged — evidence it ran","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","410e5cdd-d023-46a0-8825-156760471ca8"
"LER-1268","Story","Done","UC-08: QA — Definition of Done checks","delivered","UC-08 delivering ticket (original mapped in docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","eea7a291-baa8-47bb-bf6a-75621dcfdfed"
"LER-1269","Story","To Do","Test-fixture debt: dev.db baseline pollutes case-wide checks — strategy decision before UC-09","not-started","fixture-debt strategy (docs/pr-bodies/mgs-pre-uc09-cleanup.md); agent mode since turned off in the UI","02e5a065-6359-4157-96fd-1524b98695d9"
"LER-1270","Bug","To Do","checkDateLogic accepts impossible calendar dates — validity is shape-only","not-started","found by unit-test tranche 1 (24 Aug); repro in the tranche's bugs draft; agent mode needs the UI flip","72212db0-a76d-4dc5-b218-f01a4ca8890f"
"LER-1271","Bug","To Do","ValidationFinding.relatedFieldId carries a display label on the failed ordering branch","not-started","found by unit-test tranche 1 (24 Aug); acknowledgement ids embed display text — fails safe but keys audit rows on mutable strings; agent mode needs the UI flip","878655bf-a8af-4926-8de4-4eeea1be9913"
"LER-1272","Bug","To Do","A half-filled sensitive schedule row reviews clean — MG6D completeness tests emptiness only","not-started","promoted from a tranche-1 lesser observation (24 Aug); a form can finalise with blank required columns in a sensitive row; agent mode needs the UI flip","b09f5b2f-44e0-4d1a-9597-c54beb2f935a"
